Start  Time: 2024/01/07, 09:50:13.986
Export Time: 2024/01/07, 09:51:31.383
Min  (dBA):   27.9
Max  (dBA):   35.3
Peak (dBA):   37.0
Avg  (dBA):   29.3
TWA  (dBA):   0.0
Dose (%):    0.0

Recorded Value (dBA),Response Time (seconds)
30.1,0.2
30.2,0.2
32.2,0.2
31.2,0.2
29.7,0.2
30.6,0.2
34.5,0.2
35.3,0.2
32.1,0.2
29.8,0.2
30.7,0.2
31.6,0.2
32.0,0.2
32.8,0.2
32.3,0.2
30.3,0.2
28.8,0.2
28.9,0.2
28.6,0.2
28.8,0.2
28.9,0.2
28.9,0.2
29.1,0.2
29.8,0.2
30.9,0.2
31.2,0.2
30.1,0.2
29.8,0.2
29.8,0.2
29.7,0.2
29.7,0.2
30.5,0.2
30.0,0.2
29.9,0.2
29.0,0.2
28.5,0.2
28.4,0.2
28.6,0.2
29.6,0.2
29.4,0.2
29.0,0.2
29.0,0.2
29.0,0.2
29.0,0.2
28.4,0.2
28.9,0.2
28.5,0.2
29.1,0.2
28.2,0.2
28.8,0.2
28.9,0.2
28.3,0.2
28.7,0.2
28.9,0.2
28.6,0.2
28.8,0.2
28.6,0.2
28.4,0.2
28.3,0.2
28.5,0.2
28.7,0.2
28.8,0.2
28.4,0.2
28.5,0.2
28.2,0.2
28.4,0.2
28.5,0.2
28.3,0.2
28.4,0.2
27.9,0.2
28.4,0.2
28.5,0.2
28.7,0.2
28.5,0.2
28.0,0.2
28.8,0.2
28.3,0.2
28.5,0.2
28.1,0.2
29.2,0.2
28.6,0.2
28.6,0.2
28.4,0.2
28.2,0.2
28.4,0.2
28.5,0.2
28.9,0.2
29.2,0.2
28.7,0.2
28.7,0.2
28.8,0.2
28.5,0.2
28.5,0.2
28.2,0.2
28.3,0.2
28.9,0.2
29.2,0.2
28.0,0.2
27.9,0.2
28.0,0.2
28.1,0.2
28.2,0.2
28.3,0.2
28.5,0.2
28.5,0.2
28.5,0.2
28.4,0.2
28.1,0.2
28.3,0.2
28.3,0.2
28.5,0.2
28.4,0.2
28.1,0.2
28.2,0.2
28.8,0.2
28.4,0.2
28.4,0.2
28.1,0.2
28.2,0.2
28.8,0.2
28.4,0.2
28.5,0.2
28.2,0.2
28.1,0.2
28.3,0.2
28.3,0.2
28.0,0.2
28.8,0.2
28.8,0.2
28.3,0.2
28.2,0.2
28.8,0.2
28.2,0.2
28.2,0.2
28.1,0.2
28.2,0.2
28.4,0.2
28.4,0.2
28.4,0.2
28.4,0.2
30.1,0.2
28.6,0.2
28.7,0.2
28.7,0.2
29.5,0.2
32.6,0.2
32.1,0.2
31.1,0.2
30.5,0.2
