Start  Time: 2024/01/09, 22:43:16.146
Export Time: 2024/01/09, 22:46:28.018
Min  (dBA):   27.7
Max  (dBA):   62.3
Peak (dBA):   66.1
Avg  (dBA):   53.3
TWA  (dBA):   0.0
Dose (%):    0.0

Recorded Value (dBA),Response Time (seconds)
28.8,0.2
30.6,0.2
49.4,0.2
52.4,0.2
51.7,0.2
51.2,0.2
51.6,0.2
52.3,0.2
52.8,0.2
52.1,0.2
52.4,0.2
50.7,0.2
48.8,0.2
48.5,0.2
47.7,0.2
48.9,0.2
48.4,0.2
51.0,0.2
51.1,0.2
52.9,0.2
53.1,0.2
53.5,0.2
53.0,0.2
54.2,0.2
55.3,0.2
53.6,0.2
55.5,0.2
54.1,0.2
31.1,0.2
28.4,0.2
28.8,0.2
28.5,0.2
47.7,0.2
54.0,0.2
52.5,0.2
53.2,0.2
53.9,0.2
51.9,0.2
53.1,0.2
52.3,0.2
54.3,0.2
54.3,0.2
55.5,0.2
56.2,0.2
56.9,0.2
52.8,0.2
29.4,0.2
28.0,0.2
28.1,0.2
27.9,0.2
55.3,0.2
56.5,0.2
55.8,0.2
58.3,0.2
59.5,0.2
56.5,0.2
28.0,0.2
28.4,0.2
34.5,0.2
28.5,0.2
58.4,0.2
60.0,0.2
62.2,0.2
51.3,0.2
29.6,0.2
29.0,0.2
29.0,0.2
49.4,0.2
51.4,0.2
52.2,0.2
51.3,0.2
51.3,0.2
52.4,0.2
52.3,0.2
51.8,0.2
52.3,0.2
50.5,0.2
49.0,0.2
47.1,0.2
47.7,0.2
48.2,0.2
49.2,0.2
49.4,0.2
51.5,0.2
51.4,0.2
53.2,0.2
53.6,0.2
53.6,0.2
53.5,0.2
54.9,0.2
54.2,0.2
55.3,0.2
54.3,0.2
33.4,0.2
28.0,0.2
27.7,0.2
27.8,0.2
46.6,0.2
54.6,0.2
52.8,0.2
53.6,0.2
53.3,0.2
51.6,0.2
52.9,0.2
51.7,0.2
54.2,0.2
54.6,0.2
56.1,0.2
55.8,0.2
57.5,0.2
54.3,0.2
28.9,0.2
28.7,0.2
28.2,0.2
28.4,0.2
54.6,0.2
55.9,0.2
56.1,0.2
58.4,0.2
59.3,0.2
57.6,0.2
31.3,0.2
29.2,0.2
30.0,0.2
29.3,0.2
59.5,0.2
60.2,0.2
62.3,0.2
56.4,0.2
28.0,0.2
28.2,0.2
28.7,0.2
49.2,0.2
51.7,0.2
52.5,0.2
50.7,0.2
51.8,0.2
51.9,0.2
53.0,0.2
51.9,0.2
52.3,0.2
51.2,0.2
49.0,0.2
48.8,0.2
47.6,0.2
48.1,0.2
